TransactionID,Date,AccountID,Amount,Category,Type,AccountType,BalanceAfter
1,2024-06-26,NPBB85400192879548,458.52,Deposit,Deposit,Savings,10623.21
2,2024-06-16,LDBW08410507479399,694.31,Salary,Deposit,Savings,6036.72
3,2024-06-12,LOXU36202566279298,956.91,Deposit,Deposit,Checking,5748.38
4,2024-06-03,MXTS32128673088656,-429.75,Utilities,Payment,Checking,12466.99
5,2024-06-02,FCVG44318703116956,-429.76,Rent,Payment,Savings,15806.7
6,2024-06-01,AGWE59730611635282,-973.76,Entertainment,Payment,Savings,16276.01
7,2024-06-25,LOXU36202566279298,-730.23,Withdrawal,Withdrawal,Checking,6816.95
8,2024-06-29,TDER61602582124217,-359.16,Healthcare,Payment,Credit,3277.54
9,2024-06-23,CORS02984494825627,662.77,Deposit,Deposit,Checking,11589.17
10,2024-06-29,RDIR95187347122273,-360.97,Education,Payment,Credit,11827.92
11,2024-06-28,LOXU36202566279298,-360.28,Education,Payment,Checking,16863.47
12,2024-06-23,QEPY19311811734994,-572.59,Entertainment,Payment,Savings,7102.65
13,2024-06-24,FCVG44318703116956,-73.98,Rent,Payment,Savings,5895.6
14,2024-06-27,RDIR95187347122273,17.48,Salary,Deposit,Credit,5853.26
15,2024-06-20,AQYN34163980522424,-331.31,Healthcare,Payment,Credit,18821.84
16,2024-06-25,ENYA89324856563293,-196.15,Education,Payment,Credit,17236.67
17,2024-06-08,MCAP39619646732552,-594.27,Rent,Payment,Credit,16443.74
18,2024-06-28,FKYN81744769398058,-227.59,Education,Payment,Credit,19940.93
19,2024-06-07,MCAP39619646732552,-76.31,Groceries,Payment,Checking,5488.43
20,2024-06-13,CORS02984494825627,-939.69,Groceries,Payment,Credit,17828.5
21,2024-06-09,IIRV20637118439597,-432.27,Withdrawal,Withdrawal,Checking,13460.87
22,2024-06-11,MJZY03548470638907,-520.26,Withdrawal,Withdrawal,Checking,4564.4
23,2024-06-03,IIRV20637118439597,72.58,Deposit,Deposit,Checking,18564.96
24,2024-06-07,NPBB85400192879548,336.69,Transfer,Transfer,Credit,9024.06
25,2024-06-05,MJZY03548470638907,-533.28,Groceries,Payment,Checking,3233.6
26,2024-06-24,MCAP39619646732552,-154.7,Healthcare,Payment,Credit,18501.66
27,2024-06-20,IEUY69253030840345,612.71,Salary,Deposit,Checking,15468.02
28,2024-06-18,AKLV18713785454455,319.81,Transfer,Transfer,Savings,5270.15
29,2024-06-08,JHXD04521580830983,-412.49,Utilities,Payment,Credit,17120.96
30,2024-06-25,AQYN34163980522424,-319.49,Rent,Payment,Savings,11663.64
31,2024-06-24,FGXP44350031990818,-1055.68,Education,Payment,Savings,3391.87
32,2024-06-24,PWRK82192565561785,-495.95,Withdrawal,Withdrawal,Credit,17653.09
33,2024-06-21,FCVG44318703116956,-182.69,Entertainment,Payment,Checking,2223.5
34,2024-06-09,HGGG95804895353095,-746.76,Rent,Payment,Credit,8166.26
35,2024-06-18,FCVG44318703116956,-133.75,Healthcare,Payment,Savings,15929.9
36,2024-06-25,LDBW08410507479399,-562.66,Groceries,Payment,Savings,15872.22
37,2024-06-24,CIHE35254372128761,-87.9,Entertainment,Payment,Checking,3805.93
38,2024-06-21,TDIP27982973357544,101.54,Salary,Deposit,Checking,8726.51
39,2024-06-11,CORS02984494825627,559.06,Transfer,Transfer,Checking,2795.93
40,2024-06-03,JHXD04521580830983,-721.54,Withdrawal,Withdrawal,Checking,12008.88
41,2024-06-06,MJZY03548470638907,-551.41,Healthcare,Payment,Checking,17397.02
42,2024-06-28,FGXP44350031990818,-465.31,Entertainment,Payment,Credit,11666.52
43,2024-06-14,JHXD04521580830983,409.67,Transfer,Transfer,Savings,1813.31
44,2024-06-07,RDIR95187347122273,-56.44,Healthcare,Payment,Savings,578.1
45,2024-06-27,ENYA89324856563293,-284.05,Utilities,Payment,Savings,12344.02
46,2024-06-27,IEUY69253030840345,-361.81,Rent,Payment,Savings,10891.6
47,2024-06-14,CIHE35254372128761,817.14,Transfer,Transfer,Checking,1484.54
48,2024-06-19,FCVG44318703116956,603.09,Salary,Deposit,Credit,12052.49
49,2024-06-09,MCAP39619646732552,-28.91,Healthcare,Payment,Savings,1338.12
50,2024-06-18,TDIP27982973357544,-597.23,Utilities,Payment,Checking,4181.88
51,2024-06-17,JFLS61038117893878,-384.48,Entertainment,Payment,Savings,8936.5
52,2024-06-05,CFKA79794624741111,-296.92,Utilities,Payment,Savings,3517.23
53,2024-06-21,CORS02984494825627,-683.5,Utilities,Payment,Credit,12140.52
54,2024-06-13,MXTS32128673088656,-809.3,Healthcare,Payment,Checking,17918.04
55,2024-06-24,QEPY19311811734994,-779.38,Healthcare,Payment,Checking,10722.91
56,2024-06-08,ENYA89324856563293,-248.23,Utilities,Payment,Checking,19610.97
57,2024-06-21,CLWT89273541434480,-407.24,Utilities,Payment,Savings,4371.62
58,2024-06-21,LDBW08410507479399,599.38,Transfer,Transfer,Checking,9772.66
59,2024-06-05,RDIR95187347122273,792.66,Salary,Deposit,Savings,2554.1
60,2024-06-20,QEPY19311811734994,-356.25,Healthcare,Payment,Checking,7467.63
61,2024-06-11,RDIR95187347122273,-444.3,Entertainment,Payment,Credit,4053.69
62,2024-06-09,IIRV20637118439597,168.1,Deposit,Deposit,Savings,8761.2
63,2024-06-25,TDER61602582124217,-141.14,Entertainment,Payment,Savings,13826.68
64,2024-06-26,NPBB85400192879548,743.76,Transfer,Transfer,Checking,19746.1
65,2024-06-07,JFLS61038117893878,-906.87,Groceries,Payment,Credit,9647.57
66,2024-06-05,HGGG95804895353095,478.4,Transfer,Transfer,Savings,17773.19
67,2024-06-05,LDBW08410507479399,-801.06,Groceries,Payment,Credit,9341.4
68,2024-06-21,FCVG44318703116956,-608.49,Rent,Payment,Checking,662.05
69,2024-06-06,TDIP27982973357544,-306.46,Entertainment,Payment,Credit,6514.99
70,2024-06-29,ENYA89324856563293,608.42,Deposit,Deposit,Savings,14476.99
71,2024-06-20,FCVG44318703116956,-961.41,Rent,Payment,Credit,1302.46
72,2024-06-11,CFKA79794624741111,-489.25,Education,Payment,Checking,10514.4
73,2024-06-03,MJZY03548470638907,-969.39,Rent,Payment,Savings,10909.89
74,2024-06-19,FGXP44350031990818,-285.92,Entertainment,Payment,Savings,9589.77
75,2024-06-13,LOXU36202566279298,-746.57,Entertainment,Payment,Savings,2549.17
76,2024-06-21,PWRK82192565561785,-526.11,Entertainment,Payment,Checking,16633.11
77,2024-06-01,AQYN34163980522424,-410.3,Groceries,Payment,Savings,18670.15
78,2024-06-03,FGXP44350031990818,-527.53,Healthcare,Payment,Credit,18302.53
79,2024-06-06,FGXP44350031990818,-96.27,Healthcare,Payment,Checking,16064.73
80,2024-06-05,FKYN81744769398058,-434.1,Utilities,Payment,Savings,1640.61
81,2024-06-17,TDER61602582124217,-607.13,Rent,Payment,Credit,10790.33
82,2024-06-18,ZRSQ51850119356132,-943.37,Rent,Payment,Checking,8825.48
83,2024-06-25,LDBW08410507479399,-344.52,Healthcare,Payment,Savings,7536.19
84,2024-06-08,LOXU36202566279298,-257.45,Education,Payment,Savings,15772.99
85,2024-06-11,AGWE59730611635282,-349.47,Groceries,Payment,Credit,14028.37
86,2024-06-07,IEUY69253030840345,774.62,Salary,Deposit,Checking,19004.01
87,2024-06-19,AGWE59730611635282,-598.63,Withdrawal,Withdrawal,Credit,2671.4
88,2024-06-07,LDBW08410507479399,-341.07,Education,Payment,Credit,3640.8
89,2024-06-04,IEUY69253030840345,-653.98,Withdrawal,Withdrawal,Credit,6443.5
90,2024-06-22,PWRK82192565561785,529.12,Salary,Deposit,Checking,18643.81
91,2024-06-14,SLGF46504138836378,-790.59,Utilities,Payment,Savings,18066.81
92,2024-06-18,TDER61602582124217,-289.38,Education,Payment,Savings,12149.08
93,2024-06-29,CFKA79794624741111,-401.7,Withdrawal,Withdrawal,Checking,8609.58
94,2024-06-04,LOXU36202566279298,-382.37,Entertainment,Payment,Checking,18374.5
95,2024-06-02,IIRV20637118439597,-60.95,Healthcare,Payment,Savings,8656.29
96,2024-06-28,PWRK82192565561785,588.84,Deposit,Deposit,Savings,2146.88
97,2024-06-09,FGXP44350031990818,-578.32,Entertainment,Payment,Checking,2079.03
98,2024-06-16,AKLV18713785454455,-501.53,Entertainment,Payment,Credit,4628.06
99,2024-06-29,AQYN34163980522424,-429.62,Rent,Payment,Savings,19585.19
100,2024-06-28,QEPY19311811734994,-75.39,Utilities,Payment,Checking,17558.21
101,2024-06-08,NPBB85400192879548,-373.81,Withdrawal,Withdrawal,Savings,10134.86
102,2024-06-28,AKLV18713785454455,-397.19,Rent,Payment,Credit,2460.98
103,2024-06-17,SLGF46504138836378,-259.32,Withdrawal,Withdrawal,Checking,6388.08
104,2024-06-23,FKYN81744769398058,-451.61,Rent,Payment,Checking,9031.01
105,2024-06-11,CORS02984494825627,621.22,Deposit,Deposit,Savings,11891.76
106,2024-06-05,RDIR95187347122273,1065.86,Transfer,Transfer,Credit,2339.13
107,2024-06-03,TDIP27982973357544,-552.37,Healthcare,Payment,Savings,931.5
108,2024-06-19,AQYN34163980522424,577.27,Transfer,Transfer,Checking,16990.8
109,2024-06-12,AKLV18713785454455,477.67,Salary,Deposit,Checking,15111.06
110,2024-06-03,CLWT89273541434480,75.63,Deposit,Deposit,Checking,10453.66
111,2024-06-08,RDIR95187347122273,-492.05,Rent,Payment,Savings,17302.52
112,2024-06-26,MJZY03548470638907,-518.07,Entertainment,Payment,Credit,18170.02
113,2024-06-24,MCAP39619646732552,-1238.97,Entertainment,Payment,Savings,16447.38
114,2024-06-17,FCVG44318703116956,-442.29,Groceries,Payment,Savings,5936.62
115,2024-06-22,TDIP27982973357544,-590.46,Rent,Payment,Credit,16434.67
116,2024-06-12,FCVG44318703116956,489.59,Deposit,Deposit,Savings,982.67
117,2024-06-22,FGXP44350031990818,-149.4,Rent,Payment,Checking,16581.59
118,2024-06-26,WJZN05944666143769,-842.85,Utilities,Payment,Checking,9254.43
119,2024-06-23,NPBB85400192879548,-725.58,Rent,Payment,Savings,5194.43
120,2024-06-04,CLWT89273541434480,-737.31,Education,Payment,Credit,9530.12
121,2024-06-08,FKYN81744769398058,227.18,Transfer,Transfer,Savings,2950.53
122,2024-06-28,FGXP44350031990818,920.84,Transfer,Transfer,Savings,12887.08
123,2024-06-28,MXTS32128673088656,-79.44,Groceries,Payment,Checking,14746.2
124,2024-06-27,IEUY69253030840345,676.06,Transfer,Transfer,Credit,14387.98
125,2024-06-25,FKYN81744769398058,-1157.14,Withdrawal,Withdrawal,Credit,11013.36
126,2024-06-03,MCAP39619646732552,202.84,Salary,Deposit,Savings,15387.16
127,2024-06-02,MXTS32128673088656,-330.11,Groceries,Payment,Credit,15192.66
128,2024-06-08,JFLS61038117893878,-529.9,Utilities,Payment,Checking,1670.14
129,2024-06-01,HGGG95804895353095,-348.96,Education,Payment,Savings,19795.4
130,2024-06-04,AQYN34163980522424,-34.8,Rent,Payment,Checking,17430.67
131,2024-06-23,NPBB85400192879548,-520.57,Groceries,Payment,Savings,4516.72
132,2024-06-09,RDIR95187347122273,-181.31,Rent,Payment,Savings,14303.19
133,2024-06-23,LOXU36202566279298,642.08,Deposit,Deposit,Checking,15492.73
134,2024-06-05,CIHE35254372128761,224.17,Deposit,Deposit,Checking,3445.98
135,2024-06-13,CLWT89273541434480,964.98,Transfer,Transfer,Credit,946.06
136,2024-06-06,CFKA79794624741111,-265.02,Utilities,Payment,Credit,17202.18
137,2024-06-19,CIHE35254372128761,-403.38,Withdrawal,Withdrawal,Checking,9842.21
138,2024-06-16,LDBW08410507479399,744.06,Deposit,Deposit,Checking,15599.54
