TransactionID,Date,AccountID,AccountType,TransactionType,Direction,Category,Amount,BalanceAfter
1,2025-06-18,NAFX76714943969738,Credit,Deposit,Inflow,Utilities,185646.07,245646.96
2,2025-06-18,NAFX76714943969738,Credit,Withdrawal,Outflow,Healthcare,26521.3,740927.08
3,2025-06-18,NAFX76714943969738,Credit,Deposit,Inflow,Entertainment,106058.53,30767.42
4,2025-06-18,NAFX76714943969738,Credit,Withdrawal,Outflow,Groceries,126833.47,27509.43
5,2025-06-18,NAFX76714943969738,Credit,Withdrawal,Outflow,Healthcare,162821.23,545396.54
6,2025-06-18,NAFX76714943969738,Credit,Withdrawal,Outflow,Rent,147727.16,809621.03
7,2025-06-18,NAFX76714943969738,Credit,Deposit,Inflow,Education,201648.99,698441.26
8,2025-06-18,NAFX76714943969738,Credit,Payment,Outflow,Salary,39714.4,957255.86
9,2025-06-18,NAFX76714943969738,Credit,Payment,Outflow,Utilities,24093.72,97619.66
10,2025-06-18,NAFX76714943969738,Credit,Payment,Outflow,Entertainment,66865.7,44406.99
11,2025-06-18,GLSF95267814305157,Checking,Deposit,Inflow,Rent,20621.25,293885.1
12,2025-06-18,GLSF95267814305157,Checking,Payment,Outflow,Entertainment,48879.86,70485.59
13,2025-06-18,GLSF95267814305157,Checking,Withdrawal,Outflow,Education,73057.6,80712.18
14,2025-06-18,GLSF95267814305157,Checking,Withdrawal,Outflow,Education,26149.36,278695.63
15,2025-06-18,GLSF95267814305157,Checking,Payment,Outflow,Groceries,93175.06,210297.52
16,2025-06-18,GLSF95267814305157,Checking,Payment,Outflow,Healthcare,234226.99,648387.35
17,2025-06-18,GLSF95267814305157,Checking,Withdrawal,Outflow,Entertainment,182552.57,164239.09
18,2025-06-18,GLSF95267814305157,Checking,Transfer,Inflow,Salary,247391.31,640359.76
19,2025-06-18,GLSF95267814305157,Checking,Withdrawal,Outflow,Healthcare,81746.4,768545.26
20,2025-06-18,GLSF95267814305157,Checking,Deposit,Inflow,Groceries,205628.85,805240.75
21,2025-06-18,VCJJ96229536270798,Checking,Payment,Outflow,Utilities,53534.73,942966.8
22,2025-06-18,VCJJ96229536270798,Checking,Payment,Outflow,Groceries,164204.23,396236.27
23,2025-06-18,VCJJ96229536270798,Checking,Transfer,Inflow,Groceries,66955.16,247380.88
24,2025-06-18,VCJJ96229536270798,Checking,Payment,Outflow,Healthcare,146561.91,897925.06
25,2025-06-18,VCJJ96229536270798,Checking,Transfer,Inflow,Salary,55610.87,997540.07
26,2025-06-18,VCJJ96229536270798,Checking,Transfer,Inflow,Utilities,189189.76,861241.81
27,2025-06-18,VCJJ96229536270798,Checking,Withdrawal,Outflow,Healthcare,40835.52,680800.73
28,2025-06-18,VCJJ96229536270798,Checking,Deposit,Inflow,Rent,96023.2,996125.26
29,2025-06-18,VCJJ96229536270798,Checking,Payment,Outflow,Entertainment,215334.15,12469.54
30,2025-06-18,VCJJ96229536270798,Checking,Deposit,Inflow,Healthcare,221312.32,751126.92
31,2025-06-18,LKIE71695101003443,Credit,Payment,Outflow,Utilities,74081.53,158999.6
32,2025-06-18,LKIE71695101003443,Credit,Deposit,Inflow,Healthcare,219087.38,264125.66
33,2025-06-18,LKIE71695101003443,Credit,Withdrawal,Outflow,Entertainment,228244.33,870648.05
34,2025-06-18,LKIE71695101003443,Credit,Payment,Outflow,Education,160098.42,609361.24
35,2025-06-18,LKIE71695101003443,Credit,Withdrawal,Outflow,Salary,190865.19,539839.65
36,2025-06-18,LKIE71695101003443,Credit,Deposit,Inflow,Entertainment,81714.86,20457.27
37,2025-06-18,LKIE71695101003443,Credit,Payment,Outflow,Education,201886.93,240212.86
38,2025-06-18,LKIE71695101003443,Credit,Withdrawal,Outflow,Entertainment,236790.41,86567.8
39,2025-06-18,LKIE71695101003443,Credit,Transfer,Inflow,Education,18233.92,760841.56
40,2025-06-18,LKIE71695101003443,Credit,Withdrawal,Outflow,Groceries,165277.95,946901.83
41,2025-06-18,NNIB04503279996029,Savings,Payment,Outflow,Entertainment,218235.83,423714.8
42,2025-06-18,NNIB04503279996029,Savings,Withdrawal,Outflow,Entertainment,189061.03,690177.76
43,2025-06-18,NNIB04503279996029,Savings,Payment,Outflow,Rent,248792.19,650228.18
44,2025-06-18,NNIB04503279996029,Savings,Transfer,Inflow,Entertainment,113420.05,248657.71
45,2025-06-18,NNIB04503279996029,Savings,Deposit,Inflow,Salary,6237.53,554367.6
46,2025-06-18,NNIB04503279996029,Savings,Withdrawal,Outflow,Utilities,18677.28,631471.85
47,2025-06-18,NNIB04503279996029,Savings,Withdrawal,Outflow,Utilities,226449.58,859775.76
48,2025-06-18,NNIB04503279996029,Savings,Deposit,Inflow,Entertainment,60263.15,669308.8
49,2025-06-18,NNIB04503279996029,Savings,Withdrawal,Outflow,Entertainment,33945.65,935578.73
50,2025-06-18,NNIB04503279996029,Savings,Transfer,Inflow,Groceries,196370.24,807689.5
51,2025-06-18,HAEL39742857044931,Savings,Deposit,Inflow,Utilities,165086.7,354943.27
52,2025-06-18,HAEL39742857044931,Savings,Transfer,Inflow,Rent,216095.35,55117.02
53,2025-06-18,HAEL39742857044931,Savings,Deposit,Inflow,Utilities,101252.7,339963.3
54,2025-06-18,HAEL39742857044931,Savings,Deposit,Inflow,Groceries,48705.93,536749.47
55,2025-06-18,HAEL39742857044931,Savings,Withdrawal,Outflow,Rent,46688.52,463165.44
56,2025-06-18,HAEL39742857044931,Savings,Deposit,Inflow,Rent,202197.54,856110.93
57,2025-06-18,HAEL39742857044931,Savings,Deposit,Inflow,Utilities,163384.08,541047.35
58,2025-06-18,HAEL39742857044931,Savings,Deposit,Inflow,Utilities,231665.38,848847.04
59,2025-06-18,HAEL39742857044931,Savings,Withdrawal,Outflow,Rent,121924.64,214533.55
